fold,n_estimators,max_depth,max_features,k,l,accuracy,f1_weighted,roc_auc_ovr,train_accuracy,train_f1_weighted,train_roc_auc_ovr
4_6_3,100,,sqrt,,,0.6875,0.672979797979798,0.8340909090909091,1.0,1.0,1.0
4_6_4,100,,sqrt,,,0.9375,0.9374999999999999,0.9943181818181819,1.0,1.0,1.0
4_6_5,100,,sqrt,,,0.8125,0.8092948717948718,0.828409090909091,1.0,1.0,1.0
4_7_1,50,10.0,sqrt,,,0.8125,0.8106060606060606,0.9204545454545454,1.0,1.0,1.0
4_7_2,50,10.0,sqrt,,,0.8125,0.8049242424242424,0.9303977272727273,1.0,1.0,1.0
4_7_3,50,10.0,sqrt,,,0.5625,0.5410353535353535,0.8184659090909091,1.0,1.0,1.0
4_7_4,50,10.0,sqrt,,,0.8125,0.8049242424242424,0.9585227272727272,1.0,1.0,1.0
4_7_5,50,10.0,sqrt,,,0.8125,0.8092948717948718,0.8522727272727273,1.0,1.0,1.0
4_8_1,100,10.0,sqrt,,,0.875,0.875,0.9176136363636362,1.0,1.0,1.0
4_8_2,100,10.0,sqrt,,,0.8125,0.8049242424242424,0.9244318181818181,1.0,1.0,1.0
4_8_3,100,10.0,sqrt,,,0.6875,0.672979797979798,0.8340909090909091,1.0,1.0,1.0
4_8_4,100,10.0,sqrt,,,0.9375,0.9374999999999999,0.9943181818181819,1.0,1.0,1.0
4_8_5,100,10.0,sqrt,,,0.8125,0.8092948717948718,0.828409090909091,1.0,1.0,1.0
4_9_1,50,,sqrt,,,0.6875,0.5833333333333333,0.8806818181818181,0.6875,0.5772058823529411,0.8295987215909091
4_9_2,50,,sqrt,,,0.6875,0.5772058823529411,0.8150568181818182,0.6875,0.5785984848484849,0.8476042821507761
4_9_3,50,,sqrt,,,0.5625,0.5625,0.7673295454545455,0.703125,0.6810588193253287,0.8571750277161863
4_9_4,50,,sqrt,,,0.625,0.546875,0.8210227272727273,0.6875,0.6236559139784946,0.8361930085920177
4_9_5,50,,sqrt,,,0.6875,0.5772058823529411,0.8508522727272727,0.6875,0.5785984848484849,0.8395059589800444
4_10_1,100,,sqrt,,,0.6875,0.5833333333333333,0.8806818181818181,0.6875,0.5772058823529411,0.8295987215909091
4_10_2,100,,sqrt,,,0.6875,0.5772058823529411,0.8150568181818182,0.6875,0.5785984848484849,0.8468680709534367
4_10_3,100,,sqrt,,,0.5625,0.5625,0.7673295454545455,0.703125,0.6810588193253287,0.8571750277161863
4_10_4,100,,sqrt,,,0.625,0.546875,0.8210227272727273,0.6875,0.6236559139784946,0.8361930085920177
4_10_5,100,,sqrt,,,0.6875,0.5772058823529411,0.8508522727272727,0.6875,0.5785984848484849,0.8395059589800444
4_11_1,50,10.0,sqrt,,,0.6875,0.5833333333333333,0.8806818181818181,0.6875,0.5772058823529411,0.8295987215909091
4_11_2,50,10.0,sqrt,,,0.6875,0.5772058823529411,0.8150568181818182,0.6875,0.5785984848484849,0.8476042821507761
4_11_3,50,10.0,sqrt,,,0.5625,0.5625,0.7673295454545455,0.703125,0.6810588193253287,0.8571750277161863
4_11_4,50,10.0,sqrt,,,0.625,0.546875,0.8210227272727273,0.6875,0.6236559139784946,0.8361930085920177
4_11_5,50,10.0,sqrt,,,0.6875,0.5772058823529411,0.8508522727272727,0.6875,0.5785984848484849,0.8395059589800444
4_12_1,100,10.0,sqrt,,,0.6875,0.5833333333333333,0.8806818181818181,0.6875,0.5772058823529411,0.8295987215909091
4_12_2,100,10.0,sqrt,,,0.6875,0.5772058823529411,0.8150568181818182,0.6875,0.5785984848484849,0.8468680709534367
4_12_3,100,10.0,sqrt,,,0.5625,0.5625,0.7673295454545455,0.703125,0.6810588193253287,0.8571750277161863
4_12_4,100,10.0,sqrt,,,0.625,0.546875,0.8210227272727273,0.6875,0.6236559139784946,0.8361930085920177
4_12_5,100,10.0,sqrt,,,0.6875,0.5772058823529411,0.8508522727272727,0.6875,0.5785984848484849,0.8395059589800444
5_1_1,50,,sqrt,,,0.8125,0.8068181818181818,0.8880681818181819,1.0,1.0,1.0
5_1_2,50,,sqrt,,,0.75,0.7366071428571428,0.8633522727272727,1.0,1.0,1.0
5_1_3,50,,sqrt,,,0.8125,0.8109217171717171,0.9389204545454546,1.0,1.0,1.0
5_1_4,50,,sqrt,,,0.8125,0.8092948717948718,0.8514204545454545,1.0,1.0,1.0
5_1_5,50,,sqrt,,,0.75,0.7419871794871795,0.8517045454545455,1.0,1.0,1.0
5_2_1,100,,sqrt,,,0.8125,0.8125,0.8784090909090909,1.0,1.0,1.0
5_2_2,100,,sqrt,,,0.75,0.7366071428571428,0.8227272727272728,1.0,1.0,1.0
5_2_3,100,,sqrt,,,0.875,0.8729166666666668,0.971875,1.0,1.0,1.0
5_2_4,100,,sqrt,,,0.75,0.75,0.8613636363636363,1.0,1.0,1.0
5_2_5,100,,sqrt,,,0.75,0.7419871794871795,0.8380681818181819,1.0,1.0,1.0
5_3_1,50,10.0,sqrt,,,0.8125,0.8068181818181818,0.8880681818181819,1.0,1.0,1.0
5_3_2,50,10.0,sqrt,,,0.75,0.7366071428571428,0.8633522727272727,1.0,1.0,1.0
5_3_3,50,10.0,sqrt,,,0.8125,0.8109217171717171,0.9389204545454546,1.0,1.0,1.0
5_3_4,50,10.0,sqrt,,,0.8125,0.8092948717948718,0.8514204545454545,1.0,1.0,1.0
5_3_5,50,10.0,sqrt,,,0.75,0.7419871794871795,0.8517045454545455,1.0,1.0,1.0
5_4_1,100,10.0,sqrt,,,0.8125,0.8125,0.8784090909090909,1.0,1.0,1.0
5_4_2,100,10.0,sqrt,,,0.75,0.7366071428571428,0.8227272727272728,1.0,1.0,1.0
5_4_3,100,10.0,sqrt,,,0.875,0.8729166666666668,0.971875,1.0,1.0,1.0
5_4_4,100,10.0,sqrt,,,0.75,0.75,0.8613636363636363,1.0,1.0,1.0
5_4_5,100,10.0,sqrt,,,0.75,0.7419871794871795,0.8380681818181819,1.0,1.0,1.0
5_5_1,50,,sqrt,,,0.8125,0.8092948717948718,0.9127840909090909,1.0,1.0,1.0
5_5_2,50,,sqrt,,,0.75,0.7366071428571428,0.8139204545454546,1.0,1.0,1.0
